Date,Price,Open,High,Low,Vol.,Change %
03/22/2024,"8,241.00","8,249.00","8,252.00","8,223.00",0.01K,-0.47%
03/21/2024,"8,280.00","8,285.00","8,287.00","8,259.00",0.07K,-0.44%
03/20/2024,"8,317.00","8,330.00","8,330.00","8,299.00",0.05K,0.39%
03/19/2024,"8,285.00","8,288.00","8,299.00","8,254.00",0.08K,0.25%
03/18/2024,"8,264.00","8,206.00","8,285.00","8,206.00",0.11K,0.72%
03/15/2024,"8,205.00","8,152.00","8,245.00","8,152.00",0.13K,1.84%
03/14/2024,"8,057.00","8,057.00","8,057.00","8,057.00",,0.59%
03/13/2024,"8,010.00","8,010.00","8,010.00","8,010.00",,0.00%
03/12/2024,"8,010.00","8,010.00","8,010.00","8,010.00",,0.00%
03/11/2024,"8,010.00","8,010.00","8,010.00","8,010.00",0.01K,-0.26%
03/08/2024,"8,031.00","8,031.00","8,031.00","8,031.00",0.00K,0.19%
03/07/2024,"8,016.00","8,016.00","8,016.00","8,016.00",0.01K,-0.25%
03/06/2024,"8,036.00","8,019.00","8,050.00","8,010.00",0.06K,-0.40%
03/05/2024,"8,068.00","8,090.00","8,090.00","8,050.00",0.07K,-0.35%
03/04/2024,"8,096.00","8,096.00","8,096.00","8,096.00",0.03K,-0.15%
03/01/2024,"8,108.00","8,108.00","8,108.00","8,108.00",0.00K,-0.49%
02/29/2024,"8,148.00","8,065.00","8,179.00","8,064.00",0.08K,0.74%
02/28/2024,"8,088.00","8,102.00","8,138.00","8,050.00",0.21K,0.19%
02/27/2024,"8,073.00","8,046.00","8,103.00","8,041.00",0.11K,-0.42%
02/26/2024,"8,107.00","8,055.00","8,123.00","8,055.00",0.13K,0.23%
02/23/2024,"8,088.00","8,057.00","8,115.00","8,040.00",0.07K,0.57%
02/22/2024,"8,042.00","8,042.00","8,042.00","8,042.00",,0.10%
02/21/2024,"8,034.00","8,034.00","8,034.00","8,034.00",0.01K,0.00%
02/20/2024,"8,034.00","8,034.00","8,034.00","8,034.00",,0.00%
02/19/2024,"8,034.00","8,034.00","8,034.00","8,034.00",,0.00%
02/08/2024,"8,034.00","8,034.00","8,034.00","8,034.00",,0.00%
02/07/2024,"8,034.00","8,034.00","8,034.00","8,034.00",,0.00%
02/06/2024,"8,034.00","8,034.00","8,034.00","8,034.00",0.01K,-1.30%
02/05/2024,"8,140.00","8,140.00","8,140.00","8,140.00",,0.00%
02/02/2024,"8,140.00","8,140.00","8,140.00","8,140.00",,0.00%
02/01/2024,"8,140.00","8,140.00","8,140.00","8,140.00",,0.00%
01/31/2024,"8,140.00","8,149.00","8,153.00","8,110.00",0.03K,-0.68%
01/30/2024,"8,196.00","8,200.00","8,216.00","8,159.00",0.24K,0.02%
01/29/2024,"8,194.00","8,149.00","8,232.00","8,147.00",0.18K,0.28%
01/26/2024,"8,171.00","8,158.00","8,191.00","8,144.00",0.21K,-0.35%
01/25/2024,"8,200.00","8,200.00","8,221.00","8,179.00",0.34K,0.22%
